The Virginia Beach Police Department does not assume any liability for decisions made or actions taken or not taken by the recipient based on the information provided.

Every effort has been made to ensure the accuracy and completeness of the information provided. However, in some instances, cases of a sensitive nature that are under active investigation may be temporarily excluded from this site. Please refer to the user agreement statements located under the Related Documents link for more information. 

The data provided cannot be aggregated to calculate official crime volume and rates in Virginia Beach.  Official crime statistics can be found in the Virginia Beach Police Department Annual Reports.

About Neighborhood Crime: Information contained in this report is in Incident Based Reporting (IBR) format. Under IBR each offense (the crimes) that occurs during the incident (the event) is counted. This is in contrast to Uniform Crime Report (UCR) rules, where only the most severe offense is counted. For example, if a rape and robbery occurred in the same incident, under IBR both the rape and robbery are counted. Under the UCR system, only the rape is counted.  
Secondary crimes are denoted by an asterisk (*). The ATT/COM column refers to attempted or completed offenses. All victims involved in a Crime Against Persons are counted. For example, if an assault occurred with three victims, the report lists three lines of data. Motor vehicle thefts are counted once for each vehicle stolen. Unfounded incidents are excluded, meaning that after further investigation, the police determined that the reported crime did not actually occur. Incidents containing “Undetermined” in the Neighborhood column could not be matched to a neighborhood. The street number most likely fell outside the block range contained in our database.

About Incident Reports:  Information contained in this report represents the number of reports written by VBPD officers.  It is not in UCR or IBR format.
ABINGDON VILLAGE IN COLLEGE PARK                            CRUELTY TO ANIMALS (90Z4)                                                  1           
ABINGDON VILLAGE IN COLLEGE PARK                            CURSING/ OBSCENE LANGUAGE (90B4)                                           1           
ABINGDON VILLAGE IN COLLEGE PARK                            DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              1           
ABINGDON VILLAGE IN COLLEGE PARK                            DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           31          
ABINGDON VILLAGE IN COLLEGE PARK                            DISTURBING THE PEACE (90C2)                                                2           
ABINGDON VILLAGE IN COLLEGE PARK                            DRUG/ EQUIPMENT VIOLATIONS (35B )                                          6           
ABINGDON VILLAGE IN COLLEGE PARK                            DRUG/ NARCOTIC VIOLATIONS (35A1)                                           10          
ABINGDON VILLAGE IN COLLEGE PARK                            EMBEZZLEMENT (270A)                                                        1           
ABINGDON VILLAGE IN COLLEGE PARK                            FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           2           
ABINGDON VILLAGE IN COLLEGE PARK                            FORCIBLE RAPE (11A )                                                       2           
ABINGDON VILLAGE IN COLLEGE PARK                            FORCIBLE SODOMY (11B1)                                                     2           
ABINGDON VILLAGE IN COLLEGE PARK                            FRAUD, ALL OTHERS (26A1)                                                   1           
ABINGDON VILLAGE IN COLLEGE PARK                            FRAUD, CREDIT CARD (26B1)                                                  3           
ABINGDON VILLAGE IN COLLEGE PARK                            FRAUD, IDENTITY THEFT (26A7)                                               7           
ABINGDON VILLAGE IN COLLEGE PARK                            HIT & RUN (90ZC)                                                           8           
ABINGDON VILLAGE IN COLLEGE PARK                            LARCENY, ALL OTHERS (23H )                                                 10          
ABINGDON VILLAGE IN COLLEGE PARK                            LARCENY, FROM BUILDING (23D )                                              11          
ABINGDON VILLAGE IN COLLEGE PARK                            LARCENY, FROM COIN-OP.MACHINE OR DEVICE (23E )                             1           
ABINGDON VILLAGE IN COLLEGE PARK                            LARCENY, FROM MOTOR VEHICLE (23F )                                         16          
ABINGDON VILLAGE IN COLLEGE PARK                            MOTOR VEHICLE THEFT (240 )                                                 2           
ABINGDON VILLAGE IN COLLEGE PARK                            RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
ABINGDON VILLAGE IN COLLEGE PARK                            ROBBERY (120A)                                                             3           
ABINGDON VILLAGE IN COLLEGE PARK                            SEXUAL BATTERY (11D2)                                                      2           
ABINGDON VILLAGE IN COLLEGE PARK                            THREATEN BODILY HARM (13C4)                                                4           
ABINGDON VILLAGE IN COLLEGE PARK                            TRESPASS OF REAL PROPERTY (90J )                                           2           
ABINGDON VILLAGE IN COLLEGE PARK                            UNAUTHORIZED USE OF AUTO (270B)                                            1           
ABINGDON VILLAGE IN COLLEGE PARK                            VIOLATE PROTECTIVE ORDER (90P )                                            3           
ABINGDON VILLAGE IN COLLEGE PARK                            WEAPON LAW VIOLATIONS (520A)                                               5           
ABINGDON VILLAGE IN COLLEGE PARK                            WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     1           
ACREDALE                                                    ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
ACREDALE                                                    ARSON (200 )                                                               1           
ACREDALE                                                    ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       1           
ACREDALE                                                    ASSAULT, SIMPLE (13B1)                                                     12          
ACREDALE                                                    ASSAULT, SIMPLE, DOMESTIC (13B2)                                           5           
ACREDALE                                                    BURGLARY/ B & E, COMMERCIAL (220B)                                         1           
ACREDALE                                                    BURGLARY/ B & E, RESIDENTIAL (220A)                                        6           
ACREDALE                                                    CONCEALMENT/ PRICE CHANGING (280B)                                         1           
ACREDALE                                                    COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 2           
ACREDALE                                                    CRUELTY TO ANIMALS (90Z4)                                                  3           
ACREDALE                                                    DESTRUCTION OF PROPERTY, CITY - GRAFFITI (290C)                            1           
ACREDALE                                                    DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         1           
ACREDALE                                                    DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           17          
ACREDALE                                                    DRUG/ EQUIPMENT VIOLATIONS (35B )                                          5           
ACREDALE                                                    DRUG/ NARCOTIC VIOLATIONS (35A1)                                           9           
ACREDALE                                                    EMBEZZLEMENT (270A)                                                        1           
ACREDALE                                                    EXTORTION (210 )                                                           1           
ACREDALE                                                    FALSE INFORMATION TO POLICE (90Z8)                                         1           
ACREDALE                                                    FORGERY BY CHECK (250B)                                                    5           
ACREDALE                                                    FORGERY BY PERSCRIPTION (250E)                                             1           
ACREDALE                                                    FRAUD, ALL OTHERS (26A1)                                                   5           
ACREDALE                                                    FRAUD, BY PRESCRIPTION (26A5)                                              1           
ACREDALE                                                    FRAUD, CREDIT CARD (26B1)                                                  2           
ACREDALE                                                    FRAUD, IDENTITY THEFT (26A7)                                               2           
ACREDALE                                                    FRAUD, INNKEEPER (26A2)                                                    8           
ACREDALE                                                    FRAUD, TRICK, FALSE PRETENSES (26A3)                                       2           
ACREDALE                                                    HIT & RUN (90ZC)                                                           34          
ACREDALE                                                    LARCENY, ALL OTHERS (23H )                                                 14          
ACREDALE                                                    LARCENY, FROM BUILDING (23D )                                              8           
ACREDALE                                                    LARCENY, FROM MOTOR VEHICLE (23F )                                         23          
ACREDALE                                                    LARCENY, POCKET PICKING (23A )                                             1           
ACREDALE                                                    LARCENY, SHOPLIFTING (23C )                                                40          
ACREDALE                                                    LARCENY, TAMPERING WITH U.S. MAIL (23H2)                                   2           
ACREDALE                                                    MOTOR VEHICLE THEFT (240 )                                                 1           
ACREDALE                                                    OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   1           
ACREDALE                                                    PEEPING TOM (90H )                                                         3           
ACREDALE                                                    ROBBERY (120A)                                                             3           
ACREDALE                                                    SEXUAL BATTERY (11D2)                                                      1           
ACREDALE                                                    STALKING (13C5)                                                            1           
ACREDALE                                                    THREATEN BODILY HARM (13C4)                                                5           
ACREDALE                                                    TRESPASS OF REAL PROPERTY (90J )                                           1           
ACREDALE                                                    UNAUTHORIZED USE OF AUTO (270B)                                            2           
ACREDALE                                                    WEAPON LAW VIOLATIONS (520A)                                               1           
ADAM`S GLEN IN GLENWOOD                                     FRAUD, IDENTITY THEFT (26A7)                                               1           
ADKINS MEADOWS CONDOS                                       ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
ADKINS MEADOWS CONDOS                                       DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           3           
ADKINS MEADOWS CONDOS                                       FRAUD, IDENTITY THEFT (26A7)                                               1           
ADKINS MEADOWS CONDOS                                       LARCENY, FROM MOTOR VEHICLE (23F )                                         13          
ADKINS MEADOWS CONDOS                                       MOTOR VEHICLE THEFT (240 )                                                 2           
ADKINS MEADOWS CONDOS                                       TAMPERING WITH AUTO (290G)                                                 1           
ADKINS MEADOWS CONDOS                                       THREATEN BODILY HARM (13C4)                                                1           
ADULT LEARNING CENTER SCHOOL                                ASSAULT, SIMPLE (13B1)                                                     1           
AERIES ON THE BAY                                           ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
AERIES ON THE BAY                                           ASSAULT, SIMPLE (13B1)                                                     6           
AERIES ON THE BAY                                           ASSAULT, SIMPLE, DOMESTIC (13B2)                                           4           
AERIES ON THE BAY                                           CRUELTY TO ANIMALS (90Z4)                                                  2           
AERIES ON THE BAY                                           DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         1           
AERIES ON THE BAY                                           DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           8           
AERIES ON THE BAY                                           DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
AERIES ON THE BAY                                           DRUNKENNESS (90E )                                                         1           
AERIES ON THE BAY                                           FRAUD, ALL OTHERS (26A1)                                                   2           
AERIES ON THE BAY                                           FRAUD, IDENTITY THEFT (26A7)                                               1           
AERIES ON THE BAY                                           HIT & RUN (90ZC)                                                           1           
AERIES ON THE BAY                                           LARCENY, ALL OTHERS (23H )                                                 3           
AERIES ON THE BAY                                           LARCENY, FROM BUILDING (23D )                                              4           
AERIES ON THE BAY                                           LARCENY, FROM MOTOR VEHICLE (23F )                                         7           
AERIES ON THE BAY                                           TRESPASS OF REAL PROPERTY (90J )                                           3           
AIRPORT INDUSTRIAL PARK                                     ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
AIRPORT INDUSTRIAL PARK                                     ARSON (200 )                                                               1           
AIRPORT INDUSTRIAL PARK                                     ASSAULT, SIMPLE (13B1)                                                     21          
AIRPORT INDUSTRIAL PARK                                     ASSAULT, SIMPLE, DOMESTIC (13B2)                                           13          
AIRPORT INDUSTRIAL PARK                                     BAD CHECKS (90A )                                                          2           
AIRPORT INDUSTRIAL PARK                                     BURGLARY/ B & E, COMMERCIAL (220B)                                         6           
AIRPORT INDUSTRIAL PARK                                     BURGLARY/ B & E, RESIDENTIAL (220A)                                        5           
AIRPORT INDUSTRIAL PARK                                     CRUELTY TO ANIMALS (90Z4)                                                  2           
AIRPORT INDUSTRIAL PARK                                     DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           24          
AIRPORT INDUSTRIAL PARK                                     DISTURBING THE PEACE (90C2)                                                1           
AIRPORT INDUSTRIAL PARK                                     DRUG/ EQUIPMENT VIOLATIONS (35B )                                          9           
AIRPORT INDUSTRIAL PARK                                     DRUG/ NARCOTIC VIOLATIONS (35A1)                                           17          
AIRPORT INDUSTRIAL PARK                                     EMBEZZLEMENT (270A)                                                        2           
AIRPORT INDUSTRIAL PARK                                     ENTICEMENT (13C2)                                                          1           
AIRPORT INDUSTRIAL PARK                                     EXTORTION (210 )                                                           1           
AIRPORT INDUSTRIAL PARK                                     FRAUD, ALL OTHERS (26A1)                                                   5           
AIRPORT INDUSTRIAL PARK                                     FRAUD, CREDIT CARD (26B1)                                                  1           
AIRPORT INDUSTRIAL PARK                                     FRAUD, IDENTITY THEFT (26A7)                                               1           
AIRPORT INDUSTRIAL PARK                                     FRAUD, TRICK, FALSE PRETENSES (26A3)                                       2           
AIRPORT INDUSTRIAL PARK                                     FRAUD, USE FALSE NAME (26A6)                                               1           
AIRPORT INDUSTRIAL PARK                                     FRAUD, WELFARE (26D )                                                      1           
AIRPORT INDUSTRIAL PARK                                     HIT & RUN (90ZC)                                                           6           
AIRPORT INDUSTRIAL PARK                                     INTIMIDATION (13C1)                                                        1           
AIRPORT INDUSTRIAL PARK                                     LARCENY, ALL OTHERS (23H )                                                 24          
AIRPORT INDUSTRIAL PARK                                     LARCENY, FROM BUILDING (23D )                                              9           
AIRPORT INDUSTRIAL PARK                                     LARCENY, FROM MOTOR VEHICLE (23F )                                         27          
AIRPORT INDUSTRIAL PARK                                     LITTERING (90ZG)                                                           1           
AIRPORT INDUSTRIAL PARK                                     MOTOR VEHICLE THEFT (240 )                                                 1           
AIRPORT INDUSTRIAL PARK                                     MURDER/ NONNEGLIGENT MANSLAUGHTER (09A )                                   1           
AIRPORT INDUSTRIAL PARK                                     OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   1           
AIRPORT INDUSTRIAL PARK                                     OBSTRUCTING JUSTICE (90ZJ)                                                 1           
AIRPORT INDUSTRIAL PARK                                     PEEPING TOM (90H )                                                         1           
AIRPORT INDUSTRIAL PARK                                     RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
AIRPORT INDUSTRIAL PARK                                     ROBBERY (120A)                                                             2           
AIRPORT INDUSTRIAL PARK                                     SEXUAL BATTERY (11D2)                                                      1           
AIRPORT INDUSTRIAL PARK                                     STALKING (13C5)                                                            1           
AIRPORT INDUSTRIAL PARK                                     STATUTORY RAPE/ CARNAL KNOWLEDGE (36B )                                    1           
AIRPORT INDUSTRIAL PARK                                     STOLEN PROPERTY OFFENSES (280A)                                            1           
AIRPORT INDUSTRIAL PARK                                     THREATEN BODILY HARM (13C4)                                                5           
AIRPORT INDUSTRIAL PARK                                     THREATEN TO BURN (13C7)                                                    1           
AIRPORT INDUSTRIAL PARK                                     THROWING OBJECT AT MOVING VEHICLE (290H)                                   1           
AIRPORT INDUSTRIAL PARK                                     TRESPASS OF REAL PROPERTY (90J )                                           8           
AIRPORT INDUSTRIAL PARK                                     UNAUTHORIZED USE OF AUTO (270B)                                            1           
AIRPORT INDUSTRIAL PARK                                     VIOLATE PROTECTIVE ORDER (90P )                                            1           
AIRPORT INDUSTRIAL PARK                                     WEAPON LAW VIOLATIONS (520A)                                               3           
ALANTON                                                     ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
ALANTON                                                     ASSAULT, SIMPLE, DOMESTIC (13B2)                                           8           
ALANTON                                                     BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
ALANTON                                                     DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              4           
ALANTON                                                     DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           15          
ALANTON                                                     FRAUD, ALL OTHERS (26A1)                                                   1           
ALANTON                                                     FRAUD, IDENTITY THEFT (26A7)                                               4           
ALANTON                                                     FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
ALANTON                                                     LARCENY, ALL OTHERS (23H )                                                 3           
ALANTON                                                     LARCENY, FROM BUILDING (23D )                                              3           
ALANTON                                                     LARCENY, FROM MOTOR VEHICLE (23F )                                         11          
ALANTON                                                     SEXUAL BATTERY (11D2)                                                      1           
ALANTON                                                     THREATEN BODILY HARM (13C4)                                                3           
ALANTON                                                     THROWING OBJECT AT MOVING VEHICLE (290H)                                   1           
ALANTON ELEMENTARY SCHOOL                                   DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              1           
ALANTON ESTATES                                             ASSAULT, SIMPLE (13B1)                                                     1           
ALANTON ESTATES                                             ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
ALANTON ESTATES                                             DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
ALANTON ESTATES                                             FRAUD, IDENTITY THEFT (26A7)                                               1           
ALANTON ESTATES                                             LARCENY, FROM BUILDING (23D )                                              1           
ALANTON ESTATES                                             LARCENY, FROM MOTOR VEHICLE (23F )                                         1           
ALANTON, NORTH                                              BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
ALANTON, NORTH                                              CRUELTY TO ANIMALS (90Z4)                                                  1           
ALANTON, NORTH                                              DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           5           
ALANTON, NORTH                                              FRAUD, ALL OTHERS (26A1)                                                   1           
ALANTON, NORTH                                              FRAUD, IDENTITY THEFT (26A7)                                               2           
ALANTON, NORTH                                              LARCENY, ALL OTHERS (23H )                                                 2           
ALANTON, NORTH                                              LARCENY, FROM BUILDING (23D )                                              5           
ALANTON, NORTH                                              LARCENY, FROM MOTOR VEHICLE (23F )                                         4           
ALANTON, WEST                                               ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
ALANTON, WEST                                               DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
ALANTON, WEST                                               FRAUD, ALL OTHERS (26A1)                                                   1           
ALANTON, WEST                                               FRAUD, IDENTITY THEFT (26A7)                                               2           
ALANTON, WEST                                               FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
ALANTON, WEST                                               HIT & RUN (90ZC)                                                           2           
ALANTON, WEST                                               LARCENY, ALL OTHERS (23H )                                                 3           
ALANTON, WEST                                               LARCENY, FROM MOTOR VEHICLE (23F )                                         8           
ALANTON, WEST                                               OVERDOSE (90ZK)                                                            1           
ALEXANDRIA                                                  ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       4           
ALEXANDRIA                                                  ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       4           
ALEXANDRIA                                                  ASSAULT, SIMPLE (13B1)                                                     5           
ALEXANDRIA                                                  ASSAULT, SIMPLE, DOMESTIC (13B2)                                           20          
ALEXANDRIA                                                  BOMB THREATS (13C6)                                                        1           
ALEXANDRIA                                                  BURGLARY/ B & E, RESIDENTIAL (220A)                                        6           
ALEXANDRIA                                                  COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 2           
ALEXANDRIA                                                  DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              2           
ALEXANDRIA                                                  DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         1           
ALEXANDRIA                                                  DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           14          
ALEXANDRIA                                                  DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
ALEXANDRIA                                                  FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        2           
ALEXANDRIA                                                  FORCIBLE FONDLING (11D1)                                                   1           
ALEXANDRIA                                                  FRAUD, ALL OTHERS (26A1)                                                   1           
ALEXANDRIA                                                  FRAUD, IDENTITY THEFT (26A7)                                               13          
ALEXANDRIA                                                  HIT & RUN (90ZC)                                                           8           
ALEXANDRIA                                                  LARCENY, ALL OTHERS (23H )                                                 8           
ALEXANDRIA                                                  LARCENY, FROM BUILDING (23D )                                              10          
ALEXANDRIA                                                  LARCENY, FROM MOTOR VEHICLE (23F )                                         22          
ALEXANDRIA                                                  MOTOR VEHICLE THEFT (240 )                                                 2           
ALEXANDRIA                                                  OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   1           
ALEXANDRIA                                                  OVERDOSE (90ZK)                                                            1           
ALEXANDRIA                                                  TAMPERING WITH AUTO (290G)                                                 1           
ALEXANDRIA                                                  THREATEN BODILY HARM (13C4)                                                2           
ALEXANDRIA                                                  TRESPASS OF REAL PROPERTY (90J )                                           2           
ALEXANDRIA                                                  UNAUTHORIZED USE OF AUTO (270B)                                            1           
